R,F,M,Cluster
0.721556886227545,0.0,0.006396204318188642,0
0.8263473053892216,0.01801801801801802,0.05195468175558863,1
0.8353293413173654,0.0,0.0005190749312547456,1
0.037425149700598806,0.0,0.0054309823385827105,2
0.18413173652694612,0.09009009009009009,0.057038184181513206,2
0.19461077844311378,0.01801801801801802,0.00938195764176966,2
0.2215568862275449,0.0,0.00279270892765983,2
0.5179640718562875,0.01801801801801802,0.013500238088088302,0
0.8967065868263474,0.0,0.0023637213811683044,1
0.2889221556886228,0.02702702702702703,0.02093888214425135,3
0.09730538922155689,0.01801801801801802,0.019446005482460844,2
0.031437125748503,0.009009009009009009,0.00939911714362932,2
0.13173652694610777,0.036036036036036036,0.030972900856688128,2
0.9865269461077845,0.0,0.00839528628483915,1
0.9461077844311377,0.0,0.0019905022157206778,1
0.02694610778443114,0.02702702702702703,0.017309647500933046,2
0.5733532934131738,0.009009009009009009,0.013942095260974573,0
0.6676646706586827,0.0,0.005795621753100506,0
0.6227544910179641,0.009009009009009009,0.07634262377363184,0
0.5943113772455091,0.0,0.00279270892765983,0
0.25000000000000006,0.0,0.005795621753100506,3
0.25898203592814373,0.02702702702702703,0.03243574839022423,3
0.8997005988023953,0.0,0.005795621753100506,1
0.3203592814371258,0.0,0.010497325262647624,3
0.02694610778443114,0.0,0.0041611792009677954,2
0.218562874251497,0.0,0.00279270892765983,2
0.05239520958083833,0.09009009009009009,0.09160600067780031,2
0.038922155688622756,0.0,0.011715649894683556,2
0.3473053892215569,0.009009009009009009,0.005624026734503897,3
0.3173652694610779,0.0,0.010943472310998811,3
0.053892215568862284,0.036036036036036036,0.034876687529761,2
0.21706586826347304,0.04504504504504505,0.025799311046000334,2
0.7949101796407186,0.0,0.006396204318188642,1
0.8502994011976048,0.0,0.0023637213811683044,1
0.9835329341317366,0.0,0.008352387530189999,1
0.47155688622754494,0.0,0.002706911418361525,3
0.6541916167664671,0.0,0.0028742165614932197,0
0.23802395209580837,0.0,3.8608879184237274e-05,3
0.019461077844311378,0.1801801801801802,0.1634056463340869,2
0.30538922155688625,0.0,0.006863800743864405,3
0.4640718562874252,0.009009009009009009,0.004851849150819151,3
0.2979041916167665,0.0,0.006863800743864405,3
0.49401197604790426,0.0,0.005533939349740676,0
0.07335329341317366,0.05405405405405405,0.02938135705920457,2
0.13173652694610777,0.0,0.0005190749312547456,2
0.39670658682634735,0.0,0.00636188531446932,3
0.8877245508982037,0.0,0.002831317806844067,1
0.3413173652694611,0.02702702702702703,0.020359748956487792,3
0.21107784431137724,0.01801801801801802,0.019180033203636097,2
0.31287425149700604,0.0,0.01059170252287576,3
0.9071856287425151,0.0,0.0019905022157206778,1
0.49401197604790426,0.01801801801801802,0.01983638414976813,0
0.2694610778443114,0.02702702702702703,0.038656067814351346,3
0.847305389221557,0.0,0.006730814604452032,1
0.05988023952095809,0.009009009009009009,0.0045000793626961,2
0.690119760479042,0.0,0.0009437726022813556,0
0.7949101796407186,0.0,0.004105410819923897,1
0.45359281437125754,0.01801801801801802,0.015863959469256606,3
0.05988023952095809,0.0,0.004079671567134405,2
0.5943113772455091,0.0,0.00279270892765983,0
0.8323353293413175,0.009009009009009009,0.00871273706924288,1
0.4131736526946108,0.01801801801801802,0.008948680219813218,3
0.7305389221556887,0.01801801801801802,0.02289077548078779,0
0.09580838323353294,0.05405405405405405,0.2162826513146323,2
0.565868263473054,0.01801801801801802,0.019823514523373387,0
0.7784431137724551,0.0,0.003002912825440677,1
0.31437125748503,0.0,0.002419489762212203,3
0.10179640718562875,0.01801801801801802,0.027613928367659486,2
0.2664670658682635,0.01801801801801802,0.029033877146546434,3
0.0688622754491018,0.02702702702702703,0.01513897051568593,2
0.1347305389221557,0.009009009009009009,0.006203159922267456,2
0.19610778443113772,0.0,0.0024495188904666097,2
0.8068862275449102,0.009009009009009009,0.014675663965475082,1
0.2949101796407186,0.0,0.00823227101717237,3
0.7350299401197605,0.0,0.005872839511468981,0
0.31437125748503,0.009009009009009009,0.004950516286512201,3
0.3473053892215569,0.009009009009009009,0.0011625562509920335,3
0.058383233532934134,0.0,0.0008579750929830506,2
0.8218562874251497,0.0,0.00279270892765983,1
0.5,0.0,0.010857674801700506,0
0.19161676646706588,0.009009009009009009,0.007507282063601693,2
0.11976047904191618,0.01801801801801802,0.020823055506698638,2
0.13323353293413173,0.07207207207207207,0.0582736683154088,2
0.8802395209580839,0.0,0.0019905022157206778,1
0.7485029940119761,0.01801801801801802,0.022165786527217114,1
0.02694610778443114,0.04504504504504505,0.06669040397757252,2
0.44610778443113774,0.009009009009009009,0.00992248195034898,3
0.11526946107784432,0.036036036036036036,0.032736039672768294,2
0.034431137724550906,0.0,0.005795621753100506,2
0.09580838323353294,0.0990990990990991,0.0965264878360581,2
0.9161676646706588,0.0,0.006426233446443049,1
0.9550898203592815,0.0,0.004590166747459321,1
0.13323353293413173,0.0,0.004894747905468303,2
0.08532934131736528,0.036036036036036036,0.04098976006726524,2
0.4266467065868264,0.0,0.00415688932550288,3
0.815868263473054,0.0,0.0019905022157206778,1
0.13023952095808383,0.036036036036036036,0.022912224858112368,2
0.31886227544910184,0.009009009009009009,0.00661498796689932,3
0.7050898203592815,0.01801801801801802,0.017635678036266606,0
0.7335329341317366,0.0,0.004851849150819151,0
0.37125748502994016,0.0,0.005795621753100506,3
0.34281437125748504,0.036036036036036036,0.024911306824762877,3
0.6212574850299402,0.0,0.014963085621624404,0
0.25598802395209586,0.0,0.0013298613941237283,3
0.2155688622754491,0.0,2.5739252789491534e-05,2
0.9131736526946108,0.009009009009009009,0.012161796943034743,1
0.2889221556886228,0.0,0.002831317806844067,3
0.0014970059880239522,0.009009009009009009,0.023684402441797113,2
0.07934131736526946,0.009009009009009009,0.013066960666131862,2
0.13323353293413173,0.0,0.00015872539220186438,2
0.7619760479041917,0.0,0.00991390219941915,1
0.6122754491017964,0.01801801801801802,0.02414770899200796,0
0.2095808383233533,0.01801801801801802,0.02423779637677118,2
0.4206586826347306,0.009009009009009009,0.010424397379744066,3
0.15419161676646706,0.0,0.002419489762212203,2
